pr_number,change_risk_label,total_changes
335913,0,114.0
335912,0,34.0
335911,0,47.0
335895,0,160.0
335890,0,404.0
335886,0,65.0
335882,0,320.0
335880,0,160.0
335878,0,456.0
335874,0,87.0
335872,0,210.0
335864,0,68.0
335860,0,4660.0
335853,0,28.0
335851,0,243.0
335847,0,256.0
335845,0,120.0
335843,0,9.0
335831,0,28.0
335828,0,1328.0
335827,0,0.0
335823,0,52.0
335817,0,179.0
335812,0,50.0
335807,0,224.0
335806,0,201.0
335805,0,259.0
335800,0,126.0
335799,0,126.0
335795,0,176.0
335793,0,2.0
335791,0,955.0
335785,0,246.0
335784,0,6.0
335783,0,201.0
335772,0,108.0
335770,0,126.0
335766,0,180.0
335762,0,23.0
335759,0,66.0
335753,0,0.0
335750,0,197.0
335746,0,762.0
335742,0,0.0
335741,0,209.0
335739,0,121.0
335736,0,154.0
335733,0,1137.0
335730,0,17.0
335727,0,156.0
335721,0,108.0
335717,0,321.0
335715,0,4.0
335712,0,13.0
335706,0,121.0
335700,0,271.0
335699,0,120.0
335698,0,114.0
335697,0,26.0
335696,0,64.0
335694,0,54.0
335689,0,4.0
335682,0,8.0
335667,0,48.0
335648,0,1336.0
335646,0,123.0
335637,0,4.0
335636,0,16.0
335633,0,206.0
335631,0,8.0
335628,0,258.0
335613,1,60420.0
335611,0,66.0
335610,0,97.0
335606,0,428.0
335605,1,7312.0
335604,0,1144.0
335601,0,2.0
335599,1,5073.0
335597,0,41.0
335596,0,501.0
335591,0,0.0
335583,0,4291.0
335582,1,5653.0
335580,0,338.0
335579,0,28.0
335577,0,316.0
335576,0,263.0
335568,0,1148.0
335567,0,12.0
335566,0,10.0
335564,0,89.0
335557,0,14.0
335553,0,228.0
335552,0,235.0
335551,1,27618.0
335550,0,70.0
335549,0,413.0
335543,0,248.0
335542,0,51.0
335539,0,202.0
335533,1,11434.0
335526,0,172.0
335525,1,18269.0
335522,0,482.0
335520,0,261.0
335518,0,392.0
335517,0,1800.0
335515,0,928.0
335511,0,2515.0
335510,1,8092.0
335506,0,972.0
335504,1,9750.0
335502,0,205.0
335501,0,1924.0
335497,0,5.0
335491,0,163.0
335490,0,89.0
335487,0,141.0
335482,0,157.0
335481,0,14.0
335480,1,23988.0
335479,1,6903.0
335478,0,34.0
335474,0,0.0
335471,0,32.0
335466,0,149.0
335463,0,145.0
335462,0,56.0
335461,0,145.0
335459,0,42.0
335455,0,33.0
335454,0,6.0
335453,0,4.0
335452,0,226.0
335450,0,20.0
335447,0,41.0
335443,0,69.0
335439,0,63.0
335436,0,58.0
335434,0,43.0
335433,0,343.0
335431,1,5905.0
335430,0,0.0
335427,0,2.0
335424,1,21634.0
335419,0,232.0
335417,0,191.0
335414,1,24969.0
335413,0,122.0
335410,0,38.0
335409,0,11.0
335408,0,234.0
335406,0,1418.0
335398,0,202.0
335391,0,1173.0
335390,0,113.0
335387,0,528.0
335384,0,36.0
335379,0,4273.0
335376,0,1303.0
335375,0,50.0
335373,0,120.0
335368,0,6.0
335366,0,1659.0
335364,0,0.0
335361,0,1820.0
335360,0,498.0
335358,0,841.0
335356,0,1037.0
335355,1,22461.0
335353,0,1054.0
335352,0,884.0
335344,0,357.0
335343,0,56.0
335342,0,192.0
335341,0,95.0
335337,0,107.0
335336,0,233.0
335333,1,45190.0
335325,0,626.0
335324,0,302.0
335318,0,99.0
335317,0,109.0
335308,0,300.0
335305,1,6889.0
335304,1,19461.0
335303,1,13186.0
335301,0,505.0
335298,0,1.0
335296,0,387.0
335294,0,47.0
335290,0,96.0
335289,1,21314.0
335286,0,134.0
335285,0,278.0
335284,0,1369.0
335282,0,1275.0
335280,0,10.0
335275,0,67.0
335273,0,1382.0
335270,0,4.0
335268,0,4336.0
335266,0,8.0
335265,0,2.0
335263,0,65.0
335262,1,22959.0
335261,0,48.0
335259,1,9873.0
335258,0,118.0
335255,0,2480.0
335254,0,370.0
335253,0,335.0
335247,1,22875.0
335246,0,133.0
335245,1,35609.0
335243,0,117.0
335242,1,19666.0
335241,0,191.0
335240,0,60.0
335239,0,5.0
335238,0,89.0
335236,0,12.0
335235,0,51.0
335234,0,4.0
335233,0,2.0
335231,0,34.0
335230,1,21183.0
335222,0,4.0
335206,0,78.0
335205,0,3444.0
335201,0,356.0
335198,0,23.0
335195,0,425.0
335185,1,20685.0
335179,0,2891.0
335175,0,1550.0
335173,0,312.0
335170,0,27.0
335169,0,73.0
335162,0,91.0
335161,0,1156.0
335160,0,52.0
335159,1,39750.0
335157,0,26.0
335155,1,6156.0
335152,0,22.0
335151,0,90.0
335147,0,2453.0
335142,0,74.0
335141,1,7375.0
335140,0,0.0
335139,0,108.0
335129,0,1.0
335128,0,120.0
335124,0,3.0
335120,0,120.0
335111,1,7841.0
335109,0,17.0
335108,0,3.0
335107,0,324.0
335105,0,143.0
335103,0,588.0
335101,0,11.0
335100,0,55.0
335096,0,82.0
335094,1,10384.0
335091,0,76.0
335089,0,0.0
335088,1,24077.0
335087,0,222.0
335083,0,82.0
335080,0,1173.0
335078,0,739.0
335076,0,1799.0
335075,0,106.0
335074,0,38.0
335072,0,2916.0
335070,0,1076.0
335067,0,913.0
335066,0,71.0
335065,0,6.0
335063,0,18.0
335062,0,68.0
335061,0,446.0
335060,0,26.0
335059,0,2.0
335058,0,2352.0
335057,1,14389.0
335056,1,25218.0
335055,1,22033.0
335053,1,25086.0
335051,1,11994.0
335050,0,321.0
335044,0,54.0
335042,0,170.0
335040,0,283.0
335039,0,721.0
335038,0,285.0
335030,0,59.0
335028,0,243.0
335018,0,2037.0
335013,0,120.0
335012,0,114.0
335011,0,23.0
335008,1,7423.0
335007,0,1.0
334990,0,2.0
334989,0,98.0
334987,0,145.0
334986,0,3173.0
334985,1,15999.0
334984,0,1551.0
334983,0,119.0
334981,0,3487.0
334980,0,2857.0
334978,0,104.0
334977,0,112.0
334976,0,10.0
334975,0,10.0
334974,0,1181.0
334973,0,1.0
334972,1,4785.0
334971,0,148.0
334968,0,27.0
334966,0,468.0
334965,0,126.0
334962,0,440.0
334961,0,594.0
334960,0,2.0
334958,0,314.0
334957,0,36.0
334955,0,15.0
334952,0,0.0
334948,0,83.0
334947,0,337.0
334946,0,150.0
334945,1,36034.0
334944,0,1138.0
334942,0,2165.0
334934,0,112.0
334931,0,71.0
334929,0,1477.0
334928,0,37.0
334924,0,93.0
334921,0,4.0
334919,0,345.0
334911,0,129.0
334909,0,26.0
334908,0,2919.0
334907,0,61.0
334904,0,604.0
334898,0,918.0
334889,0,192.0
334879,0,37.0
334877,0,19.0
334876,0,147.0
334874,0,0.0
334870,0,33.0
334865,0,1547.0
334864,0,1623.0
334863,1,10015.0
334862,0,0.0
334861,0,961.0
334838,0,4.0
334836,0,2156.0
