pr_number,commits_count,commit_authors,files_changed,additions,deletions,total_changes,max_file_changes,avg_file_changes,files_added,files_modified,files_removed,files_renamed,deletion_ratio,changes_per_commit,files_per_commit,developers_involved
325117,1,1,1.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1
325118,6,1,315.0,13358.0,2659.0,16017.0,746.0,48.243975903614455,29.0,297.0,4.0,2.0,0.16601111319223325,2669.5,52.5,1
325120,1,1,2.0,20.0,18.0,38.0,31.0,19.0,0.0,2.0,0.0,0.0,0.47368421052631576,38.0,2.0,1
325122,4,2,350.0,23497.0,12747.0,36244.0,14687.0,100.958217270195,31.0,327.0,0.0,1.0,0.35169959165655007,9061.0,87.5,2
325123,1,1,3.0,12.0,6.0,18.0,14.0,6.0,0.0,3.0,0.0,0.0,0.3333333333333333,18.0,3.0,1
325124,1,1,1.0,9.0,0.0,9.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1
325126,2,1,1.0,20.0,1.0,21.0,19.0,10.5,0.0,2.0,0.0,0.0,0.047619047619047616,10.5,0.5,1
325129,2,1,289.0,14152.0,1853.0,16005.0,696.0,55.38062283737024,55.0,227.0,2.0,5.0,0.11577631990003125,8002.5,144.5,1
325131,2,1,16.0,118.0,170.0,288.0,87.0,18.0,0.0,15.0,1.0,0.0,0.5902777777777778,144.0,8.0,1
325134,1,1,1.0,13.0,4.0,17.0,17.0,17.0,0.0,1.0,0.0,0.0,0.23529411764705882,17.0,1.0,1
325135,1,1,3.0,11.0,19.0,30.0,24.0,10.0,0.0,3.0,0.0,0.0,0.6333333333333333,30.0,3.0,1
325137,1,1,5.0,26.0,6.0,32.0,11.0,6.4,0.0,5.0,0.0,0.0,0.1875,32.0,5.0,1
325138,19,1,18.0,1828.0,702.0,2530.0,223.0,55.0,5.0,41.0,0.0,0.0,0.2774703557312253,133.1578947368421,0.9473684210526315,1
325139,5,1,33.0,730.0,203.0,933.0,246.0,25.916666666666668,0.0,35.0,1.0,0.0,0.21757770632368703,186.6,6.6,1
325140,2,1,2.0,39.0,8.0,47.0,26.0,15.666666666666666,0.0,3.0,0.0,0.0,0.1702127659574468,23.5,1.0,1
