developer,files_per_developer,commits_per_developer
0x5t4l1n,307,6
0xNeshi,3,2
100jinwoo001,502,4
24anisha,193,7
503badrr,1,1
64kramsystem,4,1
AP1493,2,1
Achordchan,7,3
AdityaJagtap18,2,2
Adwait Hegde,1,2
Alexkkir,2,1
Alexoswin,308,6
Alif416,110,3
AmariahAK,520,2
AminUNer,7,2
And,8,3
Andreaj42,6,1
Aniket-a14,301,2
AntonioLujanoLuna,21,3
AnupamKumar-1,668,9
Arthur Cnops,40,57
Avinash Shrivastava,10,1
Ayush-kathil,1102,15
Ben Steenhoek,17,1
Benny Neugebauer,310,3
Bestra,9,3
BoSeal,7,3
Bosphoramus,390,8
Boulea7,2,1
Cab14bacc,456,4
Canmarha,1,1
Carrotstudiosoftwarehouse,94,3
CatBraaain,1,1
Chethan616,167,2
Cleanskiier27,3,5
Connor Peet,2,3
Copilot,3840,727
CreatorZZY,1382,18
D-Majumder,2,2
DanielGarzaB,4,3
DanielRosenwasser,306,8
David Kontyko,3,2
Davixk,307,3
Dev-next-gen,5,4
DijieDeng,1,1
Diyor-Khasanov-dev,303,2
Dmitriy Vasyura,82,22
DonJayamanne,2122,295
Ebola-Chan-bot,12,3
ErlangCPT,1,2
Fahad090NP,642,31
Frankenstein-Labs,507,9
Frankenstein-dev197,17,1
Frulfump,2,1
Genius740Code,585,12
Gilbert,2,2
Girish Konda,15,4
Giuspepe,2569,263
GujjetiMokshith,264,3
GujjetiMokshithcode,3,4
Hamjaster,1,1
Himan-D,1,1
HoneyTyagii,2,1
Iitian001,1,1
IkeStudios,302,2
ItsJiro,1,2
JeffreyCA,1,1
Jianwei Xu (from Dev Box),17,3
John-Wangson,370,23
JulianHock,1,3
KKKayleX,2,2
Kadajett,2,2
Kaidesuyoo,4,2
Kidsunbo,1,1
KlausKollerKroeff,694,12
Kuldeep-IITR,12,2
Kunall7890,4,2
Kyle Cutler,8,4
LakshayKhattar,195,3
Lor3nzoMartinez,2,2
LuckysHorizon,326,11
M393,4,2
MGPOCKY,1,1
Manibharadwaj,5,4
Manikantayarasingu,1,1
Maxim-Mazurok,9,3
Mir Imad Ahmed,603,24
Mohamedsaied8,106,8
MohammedAlmajhali,6,1
Moli13337,2,1
MortMH,361,8
MythUp,314,8
NAVEENKUMARKR777,301,2
NathanielMcVicar,2,2
NgoQuocViet2001,8,2
NguyenCuong1989,1272,13
NithishKumar04,2,1
OskarEichler,89,3
OssSecurityBot,17,1
PathGao,362,5
Paul Wang,210,17
Piotrko64,1,2
PositroniumJS,3,2
PranshulSoni,20,9
RITHIKKUMARAN,4,2
RReverser,2,3
RajeshKumar11,395,8
Rajkaran-122,4,4
RickStrahl,13,1
RobinsKarani,6,1
RohithPariki,323,31
RyanEwen,419,123
SVOG23,1,1
Safura  Mohammed,2,2
SalehKadah,29,4
Sanjays2402,3,2
Santhanakrishnan-Shanmugam,3,2
Simon R. Lincoln,21,8
SimonSiefke,3470,165
Skn0tt,4,2
Sluggish20,1,1
Soumojitshome2023,2,2
SparshGarg999,780,7
SpiliosDimakopoulos,55,4
Sravan1011,327,6
Sudhanva10,307,2
Suzu1Dev,4,3
Tao Zhuang,3,1
TheNotary,1,1
TheRealAlexxx,9,6
TheRodzz,2,1
Tiancheng-Xu,122,2
Tijs Gommeren,2,2
TuguiDragos,809,8
TumnusVirus,1,2
TylerLeonhardt,1605,213
UditDewan,1,2
UgaTheDev,1,1
Ultron09,306,7
VaggelisGian,31,23
VirajMishra1,6,8
Vivswan,3,2
WahidSaeed,302,2
Wasim,4,1
Xaena53,4,1
YOSHII-Hiroto,11,9
YOUR_NAME,1,1
YVbakker,373,6
Yoyokrazy,486,8
YuhongZeng,456,3
a1exmozz,500,6
a564559583,73,40
aadisriram,8,3
aadsm,9,1
aaronpk,64,3
abdeltaehass,1,1
abhi,1,1
abhijeetnardele24-hash,6,2
abhinav,2,1
abmahdy,9,8
accnops,1,2
adaex,8,1
adityajha77,10,6
aeonframework,8,2
aeschli,3606,227
aguashui,156,5
ahmadawais,6,1
ahmed-codics,30,1
aidaodedjl,5,6
aiday-mar,2251,167
akarshm_microsoft,3,5
alexdima,267,34
alexiri,7,3
alexis-obside,2,1
alexr00,2345,148
alif416,1,1
alike03,2,2
ama-leanix,4,1
amanx5,1,1
ameerhmz,1,1
