signal_type,period,warning_level,warning_count,warning_signals,evidence,affected_file,affected_developer
TEMPORAL,2025-11-17,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2025-11-24,HIGH,3,UNUSUAL_ACTIVITY;ACTIVITY_SPIKE;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2025-12-01,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2025-12-08,MEDIUM,1,ACTIVITY_SPIKE,Temporal repository activity analysis.,,
TEMPORAL,2025-12-15,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2025-12-22,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2025-12-29,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-01-05,MEDIUM,2,UNUSUAL_ACTIVITY;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-01-12,MEDIUM,2,UNUSUAL_ACTIVITY;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-01-19,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-01-26,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-02-02,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-02-09,MEDIUM,2,UNUSUAL_ACTIVITY;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-02-16,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-02-23,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-03-02,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-03-09,MEDIUM,2,UNUSUAL_ACTIVITY;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-03-16,MEDIUM,2,UNUSUAL_ACTIVITY;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-03-23,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-03-30,HIGH,3,UNUSUAL_ACTIVITY;ACTIVITY_SPIKE;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-04-06,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-04-13,HIGH,3,UNUSUAL_ACTIVITY;ACTIVITY_SPIKE;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-04-20,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-04-27,MEDIUM,1,ACTIVITY_SPIKE,Temporal repository activity analysis.,,
TEMPORAL,2026-05-04,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-05-11,MEDIUM,2,UNUSUAL_ACTIVITY;ACTIVITY_SPIKE,Temporal repository activity analysis.,,
TEMPORAL,2026-05-18,HIGH,3,UNUSUAL_ACTIVITY;ACTIVITY_SPIKE;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-05-25,MEDIUM,2,UNUSUAL_ACTIVITY;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-06-01,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-06-08,LOW,0,,Temporal repository activity analysis.,,
TEMPORAL,2026-06-15,HIGH,3,UNUSUAL_ACTIVITY;ACTIVITY_SPIKE;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-06-22,MEDIUM,2,UNUSUAL_ACTIVITY;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-06-29,MEDIUM,1,RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-07-06,HIGH,3,UNUSUAL_ACTIVITY;ACTIVITY_SPIKE;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-07-13,HIGH,3,UNUSUAL_ACTIVITY;ACTIVITY_SPIKE;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-07-20,HIGH,3,UNUSUAL_ACTIVITY;HIGH_UNRESOLVED_BACKLOG;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-07-27,HIGH,3,UNUSUAL_ACTIVITY;HIGH_UNRESOLVED_BACKLOG;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-08-03,HIGH,3,UNUSUAL_ACTIVITY;HIGH_UNRESOLVED_BACKLOG;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-08-10,HIGH,3,UNUSUAL_ACTIVITY;HIGH_UNRESOLVED_BACKLOG;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-08-17,MEDIUM,2,HIGH_UNRESOLVED_BACKLOG;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-08-24,MEDIUM,2,HIGH_UNRESOLVED_BACKLOG;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-08-31,MEDIUM,2,HIGH_UNRESOLVED_BACKLOG;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
TEMPORAL,2026-09-07,MEDIUM,2,HIGH_UNRESOLVED_BACKLOG;RELATIONSHIP_GROWTH,Temporal repository activity analysis.,,
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/automation-library.md,jruales
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/benchmark/README.md,jruales
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/benchmark/dashboard.md,jruales
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/benchmark/results/launcher-2026-08-22.json,jruales
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/scripts/attach.ts,jruales
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/scripts/bootstrap-profile.ps1,amunger
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/scripts/bootstrap-profile.sh,amunger
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/scripts/drive.mjs,jruales
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/scripts/normalize-automation-settings.test.ts,jruales
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/launch/scripts/normalize-automation-settings.ts,jruales
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/vscode/SKILL.md,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.agents/skills/vscode/agents/openai.yaml,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.claude/ecc-tools.json,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.claude/homunculus/instincts/inherited/vscode-instincts.yaml,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.claude/identity.json,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.claude/skills/vscode/SKILL.md,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.codex/AGENTS.md,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.codex/agents/docs-researcher.toml,devops2626
