file_name,unique_developers_per_file,single_contributor_flag
.agents/skills/launch/SKILL.md,96,0
.agents/skills/launch/automation-library.md,1,1
.agents/skills/launch/benchmark/README.md,1,1
.agents/skills/launch/benchmark/dashboard.md,1,1
.agents/skills/launch/benchmark/results/agents-skip-prelaunch-repeat5-2026-08-23.json,1,1
.agents/skills/launch/benchmark/results/baseline-2026-08-22.json,1,1
.agents/skills/launch/benchmark/results/checked-driver-2026-08-22.json,1,1
.agents/skills/launch/benchmark/results/final-repeat3-2026-08-22.json,1,1
.agents/skills/launch/benchmark/results/launcher-2026-08-22.json,1,1
.agents/skills/launch/benchmark/run.mjs,1,1
.agents/skills/launch/benchmark/scenarios/two-turn-fork.json,1,1
.agents/skills/launch/playwrightScripts/focus-chat-input.ts,40,0
.agents/skills/launch/scripts/attach.ts,1,1
.agents/skills/launch/scripts/automationDriver.test.ts,1,1
.agents/skills/launch/scripts/automationDriver.ts,1,1
.agents/skills/launch/scripts/automationState.ts,1,1
.agents/skills/launch/scripts/bootstrap-profile.ps1,1,1
.agents/skills/launch/scripts/bootstrap-profile.sh,1,1
.agents/skills/launch/scripts/cleanup.ps1,1,1
.agents/skills/launch/scripts/drive.mjs,1,1
.agents/skills/launch/scripts/launch.ps1,90,0
.agents/skills/launch/scripts/launch.sh,92,0
.agents/skills/launch/scripts/monaco-paste.mjs,1,1
.agents/skills/launch/scripts/monaco-paste.sh,41,0
.agents/skills/launch/scripts/normalize-automation-settings.test.ts,1,1
.agents/skills/launch/scripts/normalize-automation-settings.ts,1,1
.agents/skills/launch/scripts/updateSettings.ts,28,0
.agents/skills/launch/scripts/updateUserSettings.ts,1,1
.agents/skills/launch/scripts/waitForCdp.mjs,1,1
.agents/skills/launch/scripts/waitForCdp.ts,43,0
.agents/skills/launch/scripts/waitForHttp.ts,1,1
.agents/skills/launch/scripts/windows-process-arguments.ps1,1,1
.agents/skills/launch/scripts/windows-process-tree-monitor.ps1,1,1
.agents/skills/update-codex-sdk/SKILL.md,41,0
.agents/skills/update-codex-sdk/agents/openai.yaml,41,0
.agents/skills/update-codex-sdk/scripts/latest-private-version.ts,41,0
.agents/skills/vscode/SKILL.md,2,0
.agents/skills/vscode/agents/openai.yaml,2,0
.binary-check-verification/allowed.png,1,1
.binary-check-verification/control.txt,1,1
.binary-check-verification/copied.woff,1,1
.binary-check-verification/module.WASM,1,1
.binary-check-verification/tool,1,1
.claude/CLAUDE.md,1,1
.claude/ecc-tools.json,2,0
.claude/homunculus/instincts/inherited/vscode-instincts.yaml,2,0
.claude/identity.json,2,0
.claude/skills/launch,1,1
.claude/skills/vscode/SKILL.md,2,0
.codex/AGENTS.md,2,0
.codex/agents/docs-researcher.toml,2,0
.codex/agents/explorer.toml,2,0
.codex/agents/reviewer.toml,2,0
.codex/config.toml,2,0
.config/1espt/PipelineAutobaseliningConfig.yml,1,1
.copilot-version,1,1
.devcontainer/Dockerfile,5,0
.devcontainer/MIRRORS.md,1,1
.devcontainer/README.md,4,0
.devcontainer/README.zh-CN.md,1,1
.devcontainer/WHY-INSIDERS.md,1,1
.devcontainer/devcontainer-lock.json,6,0
.devcontainer/devcontainer.json,7,0
.devcontainer/install-vscode.sh,2,0
.devcontainer/normalize-git-identity.sh,1,1
.devcontainer/post-create.sh,1,1
.devcontainer/test-normalize-git-identity.sh,1,1
.eslint-allowed-bracket-notation-files,33,0
.eslint-allowed-javascript-files,60,0
.eslint-ignore,50,0
.eslint-plugin-local/README.md,1,1
.eslint-plugin-local/code-amd-node-module.ts,1,1
.eslint-plugin-local/code-command-title-capitalization.ts,1,1
.eslint-plugin-local/code-ensure-no-disposables-leak-in-test.ts,48,0
.eslint-plugin-local/code-import-patterns.ts,48,0
.eslint-plugin-local/code-layering.ts,48,0
.eslint-plugin-local/code-limited-top-functions.ts,48,0
.eslint-plugin-local/code-must-use-super-dispose.ts,48,0
.eslint-plugin-local/code-no-accessor-after-await.ts,3,0
.eslint-plugin-local/code-no-bracket-notation-for-identifiers.ts,44,0
.eslint-plugin-local/code-no-declare-const-enum.ts,2,0
.eslint-plugin-local/code-no-direct-gulp-import.ts,49,0
.eslint-plugin-local/code-no-http-import.ts,49,0
.eslint-plugin-local/code-no-icons-in-localized-strings.ts,2,0
.eslint-plugin-local/code-no-native-private.ts,2,0
.eslint-plugin-local/code-no-new-javascript-files.ts,4,0
.eslint-plugin-local/code-no-nls-in-standalone-editor.ts,48,0
.eslint-plugin-local/code-no-observable-get-in-reactive-context.ts,48,0
.eslint-plugin-local/code-no-runtime-import.ts,48,0
.eslint-plugin-local/code-no-standalone-editor.ts,48,0
.eslint-plugin-local/code-no-static-node-module-import.ts,49,0
.eslint-plugin-local/code-no-telemetry-common-property.ts,64,0
.eslint-plugin-local/code-no-unexternalized-strings.ts,50,0
.eslint-plugin-local/code-no-untyped-meta-access.ts,24,0
.eslint-plugin-local/code-translation-remind.ts,49,0
.eslint-plugin-local/index.ts,4,0
.eslint-plugin-local/package.json,29,0
.eslint-plugin-local/tests/code-command-title-capitalization-test.ts,1,1
.eslint-plugin-local/tsconfig.json,1,1
