node_id,node_type,issue_number,pr_number,commit_sha,file_name,developer
ISSUE_335916,Issue,335916,,,,
ISSUE_335915,Issue,335915,,,,
ISSUE_335914,Issue,335914,,,,
ISSUE_335908,Issue,335908,,,,
ISSUE_335907,Issue,335907,,,,
ISSUE_335906,Issue,335906,,,,
ISSUE_335904,Issue,335904,,,,
ISSUE_335903,Issue,335903,,,,
ISSUE_335900,Issue,335900,,,,
ISSUE_335896,Issue,335896,,,,
ISSUE_335894,Issue,335894,,,,
ISSUE_335893,Issue,335893,,,,
ISSUE_335892,Issue,335892,,,,
ISSUE_335891,Issue,335891,,,,
ISSUE_335889,Issue,335889,,,,
ISSUE_335888,Issue,335888,,,,
ISSUE_335887,Issue,335887,,,,
ISSUE_335885,Issue,335885,,,,
ISSUE_335884,Issue,335884,,,,
ISSUE_335883,Issue,335883,,,,
ISSUE_335881,Issue,335881,,,,
ISSUE_335879,Issue,335879,,,,
ISSUE_335877,Issue,335877,,,,
ISSUE_335876,Issue,335876,,,,
ISSUE_335875,Issue,335875,,,,
ISSUE_335873,Issue,335873,,,,
ISSUE_335871,Issue,335871,,,,
ISSUE_335870,Issue,335870,,,,
ISSUE_335869,Issue,335869,,,,
ISSUE_335868,Issue,335868,,,,
ISSUE_335867,Issue,335867,,,,
ISSUE_335866,Issue,335866,,,,
ISSUE_335865,Issue,335865,,,,
ISSUE_335863,Issue,335863,,,,
ISSUE_335862,Issue,335862,,,,
ISSUE_335861,Issue,335861,,,,
ISSUE_335859,Issue,335859,,,,
ISSUE_335858,Issue,335858,,,,
ISSUE_335857,Issue,335857,,,,
ISSUE_335856,Issue,335856,,,,
ISSUE_335855,Issue,335855,,,,
ISSUE_335854,Issue,335854,,,,
ISSUE_335852,Issue,335852,,,,
ISSUE_335848,Issue,335848,,,,
ISSUE_335844,Issue,335844,,,,
ISSUE_335842,Issue,335842,,,,
ISSUE_335841,Issue,335841,,,,
ISSUE_335840,Issue,335840,,,,
ISSUE_335839,Issue,335839,,,,
