entity_type,entity_id,related_type,related_id,direct_or_indirect,relationship,impact_depth,impact_path
PR,335918,COMMIT,adc9092582503ef136344e5d017aa68b3c10c944,DIRECT,PR_HAS_COMMIT,1,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944
PR,335918,FILE,src/vs/platform/agentHost/node/copilot/copilotAgent.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/node/copilot/copilotAgent.ts
PR,335918,FILE,src/vs/platform/agentHost/node/copilot/copilotAgentSession.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/node/copilot/copilotAgentSession.ts
PR,335918,FILE,src/vs/platform/agentHost/node/copilot/copilotSandboxPolicyDisplay.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/node/copilot/copilotSandboxPolicyDisplay.ts
PR,335918,FILE,src/vs/platform/agentHost/node/copilot/copilotSlashCommand.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/node/copilot/copilotSlashCommand.ts
PR,335918,FILE,src/vs/platform/agentHost/node/copilot/copilotSlashCommandCompletionProvider.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/node/copilot/copilotSlashCommandCompletionProvider.ts
PR,335918,FILE,src/vs/platform/agentHost/node/copilot/copilotSlashCommandProvider.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/node/copilot/copilotSlashCommandProvider.ts
PR,335918,FILE,src/vs/platform/agentHost/test/node/copilotAgentSession.test.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/test/node/copilotAgentSession.test.ts
PR,335918,FILE,src/vs/platform/agentHost/test/node/copilotSlashCommand.test.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/test/node/copilotSlashCommand.test.ts
PR,335918,FILE,src/vs/platform/agentHost/test/node/copilotSlashCommandCompletionProvider.test.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/platform/agentHost/test/node/copilotSlashCommandCompletionProvider.test.ts
PR,335918,FILE,src/vs/workbench/contrib/chat/browser/actions/chatAccessibilityHelp.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/workbench/contrib/chat/browser/actions/chatAccessibilityHelp.ts
PR,335918,FILE,src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/stateToProgressAdapter.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/stateToProgressAdapter.ts
PR,335918,FILE,src/vs/workbench/contrib/chat/browser/widget/chatContentParts/chatInlineAnchorWidget.ts,INDIRECT,COMMIT_MODIFIES_FILE,2,PR:335918 -> COMMIT:adc9092582503ef136344e5d017aa68b3c10c944 -> FILE:src/vs/workbench/contrib/chat/browser/widget/chatContentParts/chatInlineAnchorWidget.ts
