file_name,unique_developers_per_file,dominant_developer_share,total_file_commits,single_contributor_flag,contributor_concentration,dominant_developer
.agents/skills/launch/SKILL.md,96,0.13592233009708737,412,0,0.13592233009708737,dmitrivMS
.agents/skills/launch/automation-library.md,1,1.0,21,1,1.0,jruales
.agents/skills/launch/benchmark/README.md,1,1.0,4,1,1.0,jruales
.agents/skills/launch/benchmark/dashboard.md,1,1.0,6,1,1.0,jruales
.agents/skills/launch/benchmark/results/agents-skip-prelaunch-repeat5-2026-08-23.json,1,1.0,2,1,1.0,jruales
.agents/skills/launch/benchmark/results/baseline-2026-08-22.json,1,1.0,1,1,1.0,jruales
.agents/skills/launch/benchmark/results/checked-driver-2026-08-22.json,1,1.0,2,1,1.0,jruales
.agents/skills/launch/benchmark/results/final-repeat3-2026-08-22.json,1,1.0,2,1,1.0,jruales
.agents/skills/launch/benchmark/results/launcher-2026-08-22.json,1,1.0,3,1,1.0,jruales
.agents/skills/launch/benchmark/run.mjs,1,1.0,2,1,1.0,jruales
.agents/skills/launch/benchmark/scenarios/two-turn-fork.json,1,1.0,2,1,1.0,jruales
.agents/skills/launch/playwrightScripts/focus-chat-input.ts,40,0.14634146341463414,82,0,0.14634146341463414,dmitrivMS
.agents/skills/launch/scripts/attach.ts,1,1.0,17,1,1.0,jruales
.agents/skills/launch/scripts/automationDriver.test.ts,1,1.0,1,1,1.0,jruales
.agents/skills/launch/scripts/automationDriver.ts,1,1.0,1,1,1.0,jruales
.agents/skills/launch/scripts/automationState.ts,1,1.0,1,1,1.0,jruales
.agents/skills/launch/scripts/bootstrap-profile.ps1,1,1.0,3,1,1.0,amunger
.agents/skills/launch/scripts/bootstrap-profile.sh,1,1.0,3,1,1.0,amunger
.agents/skills/launch/scripts/cleanup.ps1,1,1.0,2,1,1.0,amunger
.agents/skills/launch/scripts/drive.mjs,1,1.0,3,1,1.0,jruales
.agents/skills/launch/scripts/launch.ps1,90,0.15,320,0,0.15,dmitrivMS
.agents/skills/launch/scripts/launch.sh,92,0.12238805970149254,335,0,0.12238805970149254,dmitrivMS
.agents/skills/launch/scripts/monaco-paste.mjs,1,1.0,2,1,1.0,amunger
.agents/skills/launch/scripts/monaco-paste.sh,41,0.13953488372093023,86,0,0.13953488372093023,dmitrivMS
.agents/skills/launch/scripts/normalize-automation-settings.test.ts,1,1.0,25,1,1.0,jruales
.agents/skills/launch/scripts/normalize-automation-settings.ts,1,1.0,28,1,1.0,jruales
.agents/skills/launch/scripts/updateSettings.ts,28,0.21739130434782608,46,0,0.21739130434782608,dmitrivMS
.agents/skills/launch/scripts/updateUserSettings.ts,1,1.0,2,1,1.0,roblourens
.agents/skills/launch/scripts/waitForCdp.mjs,1,1.0,2,1,1.0,jruales
.agents/skills/launch/scripts/waitForCdp.ts,43,0.15384615384615385,78,0,0.15384615384615385,dmitrivMS
.agents/skills/launch/scripts/waitForHttp.ts,1,1.0,1,1,1.0,jruales
.agents/skills/launch/scripts/windows-process-arguments.ps1,1,1.0,1,1,1.0,amunger
.agents/skills/launch/scripts/windows-process-tree-monitor.ps1,1,1.0,1,1,1.0,amunger
.agents/skills/update-codex-sdk/SKILL.md,41,0.1506849315068493,73,0,0.1506849315068493,dmitrivMS
.agents/skills/update-codex-sdk/agents/openai.yaml,41,0.1506849315068493,73,0,0.1506849315068493,dmitrivMS
.agents/skills/update-codex-sdk/scripts/latest-private-version.ts,41,0.1506849315068493,73,0,0.1506849315068493,dmitrivMS
.agents/skills/vscode/SKILL.md,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.agents/skills/vscode/agents/openai.yaml,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.binary-check-verification/allowed.png,1,1.0,1,1,1.0,hawkticehurst
.binary-check-verification/control.txt,1,1.0,1,1,1.0,hawkticehurst
.binary-check-verification/copied.woff,1,1.0,1,1,1.0,hawkticehurst
.binary-check-verification/module.WASM,1,1.0,2,1,1.0,hawkticehurst
.binary-check-verification/tool,1,1.0,2,1,1.0,hawkticehurst
.claude/CLAUDE.md,1,1.0,2,1,1.0,NguyenCuong1989
.claude/ecc-tools.json,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.claude/homunculus/instincts/inherited/vscode-instincts.yaml,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.claude/identity.json,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.claude/skills/launch,1,1.0,2,1,1.0,NguyenCuong1989
.claude/skills/vscode/SKILL.md,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.codex/AGENTS.md,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.codex/agents/docs-researcher.toml,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.codex/agents/explorer.toml,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.codex/agents/reviewer.toml,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.codex/config.toml,2,0.5714285714285714,7,0,0.5714285714285714,devops2626
.config/1espt/PipelineAutobaseliningConfig.yml,1,1.0,1,1,1.0,veerjain-1
.copilot-version,1,1.0,2,1,1.0,pwang347
.devcontainer/Dockerfile,5,0.5,8,0,0.5,SimonSiefke
.devcontainer/MIRRORS.md,1,1.0,1,1,1.0,lulujs
.devcontainer/README.md,4,0.5714285714285714,7,0,0.5714285714285714,SimonSiefke
