developer,files_touched,commits,changes,file_share,commit_share,change_share,developer_concentration,bottleneck_score,risk_level,evidence
roblourens,5849,1091,2893345,0.5222321428571428,0.06994486472624696,0.09244386589869981,0.2282069578273632,22.82069578273632,HIGH,"Observed contribution across 5849 files, 1091 commits, and 2893345 changes."
sandy081,5762,856,2105324,0.5144642857142857,0.05487883061931017,0.06726618828010979,0.2122031015379019,21.22031015379019,HIGH,"Observed contribution across 5762 files, 856 commits, and 2105324 changes."
dmitrivMS,5337,637,3604390,0.47651785714285716,0.040838569047313755,0.11516212059281371,0.2108395155943282,21.08395155943282,HIGH,"Observed contribution across 5337 files, 637 commits, and 3604390 changes."
meganrogge,4584,1348,1729972,0.4092857142857143,0.08642133606872676,0.05527349817477884,0.1836601828430733,18.36601828430733,MEDIUM,"Observed contribution across 4584 files, 1348 commits, and 1729972 changes."
connor4312,4087,499,1024001,0.3649107142857143,0.031991280933453006,0.0327173603991693,0.14320645187277886,14.320645187277886,MEDIUM,"Observed contribution across 4087 files, 499 commits, and 1024001 changes."
lramos15,3974,389,704158,0.35482142857142857,0.024939094755737915,0.022498211489987076,0.1340862449390512,13.40862449390512,MEDIUM,"Observed contribution across 3974 files, 389 commits, and 704158 changes."
Copilot,3840,500,723859,0.34285714285714286,0.03205539171688678,0.023127668606946955,0.13268006772699217,13.268006772699218,MEDIUM,"Observed contribution across 3840 files, 500 commits, and 723859 changes."
benibenj,3742,660,650729,0.3341071428571429,0.04231311706629055,0.020791127367249678,0.13240379576356104,13.240379576356103,MEDIUM,"Observed contribution across 3742 files, 660 commits, and 650729 changes."
justschen,3790,414,712731,0.33839285714285716,0.026541864341582254,0.022772123264196358,0.1292356149162119,12.923561491621191,MEDIUM,"Observed contribution across 3790 files, 414 commits, and 712731 changes."
aeschli,3606,227,894227,0.3219642857142857,0.014553147839466598,0.028571014127591637,0.12169614922711465,12.169614922711466,MEDIUM,"Observed contribution across 3606 files, 227 commits, and 894227 changes."
SimonSiefke,3470,164,1118654,0.3098214285714286,0.010514168483138865,0.03574157259609349,0.11869238988355364,11.869238988355365,MEDIUM,"Observed contribution across 3470 files, 164 commits, and 1118654 changes."
mrleemurray,3245,467,465883,0.2897321428571429,0.029939735863572254,0.014885202275042886,0.111519026998586,11.1519026998586,MEDIUM,"Observed contribution across 3245 files, 467 commits, and 465883 changes."
dileepyavan,3263,173,509604,0.2913392857142857,0.011091165534042826,0.01628211078783934,0.10623752067872262,10.623752067872262,MEDIUM,"Observed contribution across 3263 files, 173 commits, and 509604 changes."
vritant24,3203,275,406882,0.28598214285714285,0.01763046544428773,0.013000089876801686,0.10553756605941074,10.553756605941073,MEDIUM,"Observed contribution across 3203 files, 275 commits, and 406882 changes."
benvillalobos,3123,292,534511,0.27883928571428573,0.01872034876266188,0.017077902291423915,0.10487917892279051,10.487917892279052,MEDIUM,"Observed contribution across 3123 files, 292 commits, and 534511 changes."
rzhao271,2925,137,660446,0.2611607142857143,0.008783177330426977,0.02110159053183519,0.09701516071599216,9.701516071599215,LOW,"Observed contribution across 2925 files, 137 commits, and 660446 changes."
dbaeumer,2790,113,470663,0.24910714285714286,0.007244518528016412,0.015037925741824686,0.09046319570899464,9.046319570899463,LOW,"Observed contribution across 2790 files, 113 commits, and 470663 changes."
Giuspepe,2569,257,459040,0.229375,0.016476471342479804,0.014666564893622834,0.08683934541203421,8.68393454120342,LOW,"Observed contribution across 2569 files, 257 commits, and 459040 changes."
devops2626,2668,41,461219,0.2382142857142857,0.002628542120784716,0.014736185068124411,0.08519300430106495,8.519300430106496,LOW,"Observed contribution across 2668 files, 41 commits, and 461219 changes."
vijayupadya,2347,151,341800,0.20955357142857142,0.009680728298499808,0.010920686390380543,0.07671832870581725,7.671832870581725,LOW,"Observed contribution across 2347 files, 151 commits, and 341800 changes."
alexr00,2345,141,340500,0.209375,0.009039620464162072,0.010879150719498463,0.07643125706122018,7.643125706122018,LOW,"Observed contribution across 2345 files, 141 commits, and 340500 changes."
pwang347,2248,201,259079,0.2007142857142857,0.012886267470188485,0.00827770775112171,0.0739594203118653,7.39594203118653,LOW,"Observed contribution across 2248 files, 201 commits, and 259079 changes."
aiday-mar,2251,167,248876,0.20098214285714286,0.010706500833440184,0.007951716635729515,0.07321345344210418,7.321345344210418,LOW,"Observed contribution across 2251 files, 167 commits, and 248876 changes."
DonJayamanne,2122,294,321528,0.18946428571428572,0.018848570329529427,0.010272985528748611,0.07286194719085459,7.28619471908546,LOW,"Observed contribution across 2122 files, 294 commits, and 321528 changes."
ulugbekna,1810,383,292713,0.16160714285714287,0.024554430055135273,0.009352331408389291,0.06517130144022247,6.517130144022247,LOW,"Observed contribution across 1810 files, 383 commits, and 292713 changes."
hawkticehurst,1977,145,228515,0.17651785714285714,0.009296063597897166,0.007301172178167963,0.06437169763964076,6.437169763964076,LOW,"Observed contribution across 1977 files, 145 commits, and 228515 changes."
anthonykim1,1852,252,207444,0.16535714285714287,0.016155917425310938,0.006627942854201584,0.06271366771221847,6.271366771221847,LOW,"Observed contribution across 1852 files, 252 commits, and 207444 changes."
digitarald,1899,88,288751,0.16955357142857144,0.005641748942172073,0.00922574346374714,0.06147368794483021,6.147368794483022,LOW,"Observed contribution across 1899 files, 88 commits, and 288751 changes."
amunger,1686,164,238014,0.15053571428571427,0.010514168483138865,0.0076046701302517105,0.05621818429970161,5.621818429970161,LOW,"Observed contribution across 1686 files, 164 commits, and 238014 changes."
osortega,1693,158,171375,0.1511607142857143,0.010129503782536223,0.005475519690320262,0.05558857925285692,5.558857925285692,LOW,"Observed contribution across 1693 files, 158 commits, and 171375 changes."
cipheraxat,1686,93,217177,0.15053571428571427,0.005962302859340941,0.006938917227044105,0.0544789781240331,5.44789781240331,LOW,"Observed contribution across 1686 files, 93 commits, and 217177 changes."
TylerLeonhardt,1605,213,196405,0.14330357142857142,0.013655596871393769,0.006275241107380604,0.0544114698024486,5.441146980244859,LOW,"Observed contribution across 1605 files, 213 commits, and 196405 changes."
jyje,1716,29,236613,0.15321428571428572,0.0018592127195794332,0.007559907457247254,0.054211135297037465,5.421113529703747,LOW,"Observed contribution across 1716 files, 29 commits, and 236613 changes."
sukumarp2022,1749,20,137124,0.1561607142857143,0.0012822156686754713,0.004381182564641725,0.05394137083967717,5.394137083967717,LOW,"Observed contribution across 1749 files, 20 commits, and 137124 changes."
mcumming,1665,100,203861,0.14866071428571428,0.006411078343377356,0.006513464155147361,0.05386175226141301,5.386175226141301,LOW,"Observed contribution across 1665 files, 100 commits, and 203861 changes."
joshspicer,1543,219,162702,0.13776785714285714,0.01404026157199641,0.005198412864504667,0.052335510526452744,5.233551052645274,LOW,"Observed contribution across 1543 files, 219 commits, and 162702 changes."
bryanchen-d,1641,67,173067,0.14651785714285714,0.004295422490062829,0.005529579963499091,0.05211428653213968,5.211428653213968,LOW,"Observed contribution across 1641 files, 67 commits, and 173067 changes."
kycutler,1592,85,152070,0.14214285714285715,0.005449416591870752,0.004858714977721384,0.0508169962374831,5.08169962374831,LOW,"Observed contribution across 1592 files, 85 commits, and 152070 changes."
lszomoru,1533,140,131484,0.136875,0.008975509680728298,0.004200981654045627,0.05001716377825797,5.0017163778257965,LOW,"Observed contribution across 1533 files, 140 commits, and 131484 changes."
hediet,1427,185,152216,0.1274107142857143,0.011860494935248109,0.004863379753066602,0.048044862991343,4.8044862991343,LOW,"Observed contribution across 1427 files, 185 commits, and 152216 changes."
chrmarti,1409,140,160765,0.12580357142857143,0.008975509680728298,0.005136524714890369,0.04663853527473003,4.6638535274730035,LOW,"Observed contribution across 1409 files, 140 commits, and 160765 changes."
myselfsiddharth,1455,20,189063,0.1299107142857143,0.0012822156686754713,0.006040660418445046,0.04574453012427828,4.574453012427828,LOW,"Observed contribution across 1455 files, 20 commits, and 189063 changes."
CreatorZZY,1382,18,121296,0.12339285714285714,0.001153994101807924,0.003875469796394378,0.04280744034701981,4.280744034701981,LOW,"Observed contribution across 1382 files, 18 commits, and 121296 changes."
matthewcorven,1355,10,158188,0.12098214285714286,0.0006411078343377356,0.005054188234995662,0.042225812975492084,4.222581297549208,LOW,"Observed contribution across 1355 files, 10 commits, and 158188 changes."
NguyenCuong1989,1272,13,215547,0.11357142857142857,0.0008334401846390563,0.006886837885861191,0.04043056888064294,4.043056888064294,LOW,"Observed contribution across 1272 files, 13 commits, and 215547 changes."
cwebster-99,1181,36,194928,0.10544642857142857,0.002307988203615848,0.00622805019515535,0.03799415565673325,3.7994155656733253,LOW,"Observed contribution across 1181 files, 36 commits, and 194928 changes."
jruales,1098,200,93241,0.09803571428571428,0.012822156686754712,0.0029790980682430435,0.037945656346904014,3.7945656346904015,LOW,"Observed contribution across 1098 files, 200 commits, and 93241 changes."
Ayush-kathil,1102,15,133645,0.09839285714285714,0.0009616617515066034,0.004270026719258068,0.03454151520454061,3.4541515204540607,LOW,"Observed contribution across 1102 files, 15 commits, and 133645 changes."
dsavy4,984,13,116642,0.08785714285714286,0.0008334401846390563,0.003726772094636534,0.03080578504547282,3.0805785045472818,LOW,"Observed contribution across 984 files, 13 commits, and 116642 changes."
arpankanwer,983,11,64932,0.08776785714285715,0.0007052186177715092,0.0020746109090116717,0.030182562223213444,3.0182562223213445,LOW,"Observed contribution across 983 files, 11 commits, and 64932 changes."
ipanasenko,934,5,121072,0.08339285714285714,0.0003205539171688678,0.003868312880796235,0.029193907980274086,2.9193907980274085,LOW,"Observed contribution across 934 files, 5 commits, and 121072 changes."
bstee615,888,56,79615,0.07928571428571428,0.0035902038722913196,0.0025437403363667258,0.02847321949812411,2.847321949812411,LOW,"Observed contribution across 888 files, 56 commits, and 79615 changes."
bwateratmsft,855,7,96712,0.07633928571428572,0.00044877548403641495,0.003089998309498195,0.026626019835940113,2.662601983594011,LOW,"Observed contribution across 855 files, 7 commits, and 96712 changes."
ktsoator,841,10,64035,0.07508928571428572,0.0006411078343377356,0.002045951296103037,0.0259254482815755,2.59254482815755,LOW,"Observed contribution across 841 files, 10 commits, and 64035 changes."
bhavyaus,708,157,134741,0.06321428571428571,0.01006539299910245,0.004305044484863268,0.02586157439941714,2.586157439941714,LOW,"Observed contribution across 708 files, 157 commits, and 134741 changes."
eli-w-king,806,55,59202,0.07196428571428572,0.003526093088857546,0.0018915344519698915,0.025793971085037715,2.5793971085037715,LOW,"Observed contribution across 806 files, 55 commits, and 59202 changes."
rfeltis,821,25,68648,0.07330357142857143,0.001602769585844339,0.002193339026702292,0.025699893347039354,2.5699893347039353,LOW,"Observed contribution across 821 files, 25 commits, and 68648 changes."
TuguiDragos,809,8,103173,0.07223214285714286,0.0005128862674701885,0.0032964305937821293,0.025347153239465056,2.5347153239465054,LOW,"Observed contribution across 809 files, 8 commits, and 103173 changes."
arvindashtekar,806,5,74356,0.07196428571428572,0.0003205539171688678,0.0023757125723906838,0.02488685073461509,2.488685073461509,LOW,"Observed contribution across 806 files, 5 commits, and 74356 changes."
