week,commits_per_week,active_developers,prs_per_week,pr_authors,files_changed_per_week,pr_created_per_week,pr_updated_per_week,pr_closed_per_week,pr_merged_per_week,unresolved_prs,additions_per_week,deletions_per_week,change_volume_per_week
2025-11-17,2,1,0,0,2,0,0,0,0,0,80,0,80
2025-11-24,3,1,0,0,337,0,0,0,0,0,6151,17315,23466
2025-12-01,1,1,0,0,1,0,0,0,0,0,1,0,1
2025-12-08,1,1,0,0,3,0,0,0,0,0,2778,1,2779
2025-12-15,2,2,0,0,2,0,0,0,0,0,40,17,57
2025-12-22,1,1,0,0,1,0,0,0,0,0,5,5,10
2025-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-05,2,2,0,0,301,0,0,0,0,0,4471,2652,7123
2026-01-12,1,1,0,0,300,0,0,0,0,0,7333,5267,12600
2026-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-09,2,1,0,0,430,0,0,0,0,0,22204,8533,30737
2026-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09,2,1,0,0,313,0,0,0,0,0,20190,7656,27846
2026-03-16,1,1,0,0,300,0,0,0,0,0,76341,22393,98734
2026-03-23,3,1,0,0,16,0,0,0,0,0,3901,8,3909
2026-03-30,6,1,0,0,594,0,0,0,0,0,39081,11275,50356
2026-04-06,11,2,0,0,39,0,0,0,0,0,3677,375,4052
2026-04-13,37,3,0,0,462,0,0,0,0,0,69831,2800,72631
2026-04-20,3,2,0,0,6,0,0,0,0,0,48,14,62
2026-04-27,22,3,0,0,141,0,0,0,0,0,4343,366,4709
2026-05-04,10,1,0,0,32,0,0,0,0,0,260,24,284
2026-05-11,7,4,0,0,85,0,0,0,0,0,477,512,989
2026-05-18,10,4,0,0,316,0,0,0,0,0,35703,2977,38680
2026-05-25,19,2,0,0,389,0,0,0,0,0,10310,5113,15423
2026-06-01,18,5,0,0,102,0,0,0,0,0,10754,726,11480
2026-06-08,8,2,0,0,34,0,0,0,0,0,232,1593,1825
2026-06-15,8,2,0,0,618,0,0,0,0,0,65532,45344,110876
2026-06-22,6,3,0,0,738,0,0,0,0,0,38646,8543,47189
2026-06-29,16,5,0,0,344,0,0,0,0,0,16379,4738,21117
2026-07-06,558,66,176,55,10438,176,11,118,112,58,624730,267572,892302
2026-07-13,1420,105,459,88,27589,459,55,376,331,141,1622769,457437,2080206
2026-07-20,1306,92,442,81,33850,442,71,351,306,232,1423595,572166,1995761
2026-07-27,1554,98,517,88,44456,517,324,445,387,304,2228757,524112,2752869
2026-08-03,1871,108,563,87,55648,563,557,523,440,344,2453511,967310,3420821
2026-08-10,2045,115,643,100,67279,643,589,552,468,435,3745212,2293069,6038281
2026-08-17,1686,112,502,93,51197,502,529,406,326,531,2747600,1654987,4402587
2026-08-24,1748,130,575,107,57621,575,939,454,380,652,3421832,1083541,4505373
2026-08-31,2049,135,636,108,43453,636,947,501,408,787,1768429,464274,2232703
2026-09-07,1534,111,487,93,44338,487,978,445,370,829,1864173,526308,2390481
