file_name,dominant_developer,dominant_developer_share,total_commits,unique_developers,files_losing_dominant_contributor,files_with_no_remaining_contributor,remaining_contributor_share,high_concentration_flag
.agents/skills/launch/SKILL.md,dmitrivMS,0.13592233009708737,412,96,0,0,0.8640776699029127,0
.agents/skills/launch/automation-library.md,jruales,1.0,21,1,1,1,0.0,1
.agents/skills/launch/benchmark/README.md,jruales,1.0,4,1,1,1,0.0,1
.agents/skills/launch/benchmark/dashboard.md,jruales,1.0,6,1,1,1,0.0,1
.agents/skills/launch/benchmark/results/agents-skip-prelaunch-repeat5-2026-08-23.json,jruales,1.0,2,1,1,1,0.0,1
.agents/skills/launch/benchmark/results/baseline-2026-08-22.json,jruales,1.0,1,1,1,1,0.0,1
.agents/skills/launch/benchmark/results/checked-driver-2026-08-22.json,jruales,1.0,2,1,1,1,0.0,1
.agents/skills/launch/benchmark/results/final-repeat3-2026-08-22.json,jruales,1.0,2,1,1,1,0.0,1
.agents/skills/launch/benchmark/results/launcher-2026-08-22.json,jruales,1.0,3,1,1,1,0.0,1
.agents/skills/launch/benchmark/run.mjs,jruales,1.0,2,1,1,1,0.0,1
.agents/skills/launch/benchmark/scenarios/two-turn-fork.json,jruales,1.0,2,1,1,1,0.0,1
.agents/skills/launch/playwrightScripts/focus-chat-input.ts,dmitrivMS,0.14634146341463414,82,40,0,0,0.8536585365853658,0
.agents/skills/launch/scripts/attach.ts,jruales,1.0,17,1,1,1,0.0,1
.agents/skills/launch/scripts/automationDriver.test.ts,jruales,1.0,1,1,1,1,0.0,1
.agents/skills/launch/scripts/automationDriver.ts,jruales,1.0,1,1,1,1,0.0,1
.agents/skills/launch/scripts/automationState.ts,jruales,1.0,1,1,1,1,0.0,1
.agents/skills/launch/scripts/bootstrap-profile.ps1,amunger,1.0,3,1,1,1,0.0,1
.agents/skills/launch/scripts/bootstrap-profile.sh,amunger,1.0,3,1,1,1,0.0,1
.agents/skills/launch/scripts/cleanup.ps1,amunger,1.0,2,1,1,1,0.0,1
.agents/skills/launch/scripts/drive.mjs,jruales,1.0,3,1,1,1,0.0,1
.agents/skills/launch/scripts/launch.ps1,dmitrivMS,0.15,320,90,0,0,0.85,0
.agents/skills/launch/scripts/launch.sh,dmitrivMS,0.12238805970149254,335,92,0,0,0.8776119402985074,0
.agents/skills/launch/scripts/monaco-paste.mjs,amunger,1.0,2,1,1,1,0.0,1
.agents/skills/launch/scripts/monaco-paste.sh,dmitrivMS,0.13953488372093023,86,41,0,0,0.8604651162790697,0
.agents/skills/launch/scripts/normalize-automation-settings.test.ts,jruales,1.0,25,1,1,1,0.0,1
.agents/skills/launch/scripts/normalize-automation-settings.ts,jruales,1.0,28,1,1,1,0.0,1
.agents/skills/launch/scripts/updateSettings.ts,dmitrivMS,0.21739130434782608,46,28,0,0,0.782608695652174,0
.agents/skills/launch/scripts/updateUserSettings.ts,roblourens,1.0,2,1,1,1,0.0,1
.agents/skills/launch/scripts/waitForCdp.mjs,jruales,1.0,2,1,1,1,0.0,1
.agents/skills/launch/scripts/waitForCdp.ts,dmitrivMS,0.15384615384615385,78,43,0,0,0.8461538461538461,0
