pr_number,title_length,body_length,title_word_count,body_word_count,is_draft,commits_24h,commit_authors_24h,files_changed_24h,additions_24h,deletions_24h,total_changes_24h,changes_per_commit_24h,files_per_commit_24h,deletion_ratio_24h,has_commit_activity_24h,has_file_activity_24h,change_risk_label
335913,52,1281,8,138,False,1.0,1.0,3.0,31.0,7.0,38.0,38.0,3.0,0.1842105263157894,1,1,0
335912,52,427,7,67,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335911,56,821,8,111,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335895,69,402,7,44,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335890,52,1037,6,109,False,4.0,1.0,2.0,88.0,20.0,108.0,27.0,0.5,0.1851851851851851,1,1,0
335886,51,748,7,77,True,1.0,1.0,2.0,2.0,24.0,26.0,26.0,2.0,0.9230769230769232,1,1,0
335882,59,298,8,46,False,1.0,1.0,1.0,9.0,2.0,11.0,11.0,1.0,0.1818181818181818,1,1,0
335880,55,365,6,39,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335878,67,1891,9,248,False,1.0,1.0,3.0,188.0,137.0,325.0,325.0,3.0,0.4215384615384615,1,1,0
335874,64,886,7,125,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335872,51,548,5,68,False,1.0,1.0,5.0,72.0,8.0,80.0,80.0,5.0,0.1,1,1,0
335864,49,459,6,64,False,1.0,1.0,2.0,32.0,1.0,33.0,33.0,2.0,0.0303030303030303,1,1,0
335860,57,2740,7,368,False,5.0,1.0,74.0,4023.0,553.0,4576.0,915.2,14.8,0.1208479020979021,1,1,0
335853,80,68,13,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335851,50,849,6,120,False,2.0,1.0,6.0,34.0,63.0,97.0,48.5,3.0,0.6494845360824743,1,1,0
335847,40,941,6,77,False,2.0,1.0,4.0,35.0,90.0,125.0,62.5,2.0,0.72,1,1,0
335845,66,721,8,82,False,2.0,1.0,4.0,56.0,12.0,68.0,34.0,2.0,0.1764705882352941,1,1,0
335843,27,683,5,95,False,3.0,2.0,5.0,6.0,3.0,9.0,3.0,1.6666666666666667,0.3333333333333333,1,1,0
335831,66,31,12,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335828,58,5813,9,513,True,12.0,2.0,25.0,672.0,342.0,1014.0,84.5,2.083333333333333,0.3372781065088757,1,1,0
335827,61,1570,8,266,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335823,52,684,7,77,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335817,78,749,9,109,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335812,70,587,9,62,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335807,26,903,5,72,False,3.0,1.0,3.0,29.0,56.0,85.0,28.33333333333333,1.0,0.6588235294117647,1,1,0
335806,61,485,6,59,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335805,40,343,7,49,False,4.0,1.0,2.0,58.0,24.0,82.0,20.5,0.5,0.2926829268292683,1,1,0
335800,67,703,7,85,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335799,69,264,7,23,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335795,56,548,8,57,False,1.0,1.0,5.0,68.0,58.0,126.0,126.0,5.0,0.4603174603174603,1,1,0
335793,44,585,8,75,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335791,75,741,12,85,False,4.0,1.0,39.0,531.0,357.0,888.0,222.0,9.75,0.402027027027027,1,1,0
335785,72,971,9,121,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335784,52,1224,5,162,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335783,47,448,5,54,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335772,36,355,5,51,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335770,53,666,6,80,False,1.0,1.0,3.0,25.0,15.0,40.0,40.0,3.0,0.375,1,1,0
335766,53,514,7,51,False,1.0,1.0,4.0,49.0,20.0,69.0,69.0,4.0,0.2898550724637681,1,1,0
335762,40,880,7,128,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335759,72,361,8,58,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335753,56,222,9,42,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335750,64,712,8,104,False,3.0,1.0,5.0,105.0,15.0,120.0,40.0,1.6666666666666667,0.125,1,1,0
335746,61,1083,10,151,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335742,35,1052,4,147,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335741,47,2723,9,376,False,2.0,1.0,6.0,102.0,19.0,121.0,60.5,3.0,0.1570247933884297,1,1,0
335739,49,639,8,59,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335736,75,1675,8,240,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335733,43,1200,6,111,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335730,17,343,2,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335727,61,1638,7,235,False,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1,1,0
335721,56,335,9,58,True,1.0,1.0,2.0,108.0,0.0,108.0,108.0,2.0,0.0,1,1,0
335717,58,662,7,72,False,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,0.5,1,1,0
335715,14,51,2,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335712,55,380,8,58,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335706,42,343,7,49,False,1.0,1.0,4.0,28.0,16.0,44.0,44.0,4.0,0.3636363636363636,1,1,0
335700,41,2103,5,219,False,1.0,1.0,6.0,141.0,40.0,181.0,181.0,6.0,0.2209944751381215,1,1,0
335699,41,1128,6,119,False,1.0,1.0,1.0,12.0,0.0,12.0,12.0,1.0,0.0,1,1,0
335698,39,1086,7,125,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335697,52,1107,7,122,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335696,48,659,6,66,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335694,44,1183,7,133,False,2.0,1.0,2.0,14.0,2.0,16.0,8.0,1.0,0.125,1,1,0
335689,48,944,6,123,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335682,69,1269,10,158,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335667,50,827,5,106,True,1.0,1.0,2.0,48.0,0.0,48.0,48.0,2.0,0.0,1,1,0
335648,35,159,6,11,False,2.0,1.0,9.0,164.0,13.0,177.0,88.5,4.5,0.0734463276836158,1,1,0
335646,37,526,6,73,False,1.0,1.0,1.0,28.0,0.0,28.0,28.0,1.0,0.0,1,1,0
335637,45,281,6,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335636,23,322,4,27,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335633,101,0,15,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335631,38,1187,4,157,False,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1,1,0
335628,58,934,8,116,False,4.0,1.0,4.0,8.0,7.0,15.0,3.75,1.0,0.4666666666666667,1,1,0
335613,71,2900,10,393,False,9.0,1.0,59.0,2675.0,1285.0,3960.0,440.0,6.555555555555555,0.3244949494949495,1,1,1
335611,41,1541,6,159,False,1.0,1.0,3.0,9.0,7.0,16.0,16.0,3.0,0.4375,1,1,0
335610,52,1235,6,157,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335606,45,1094,7,112,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335605,71,9071,9,1126,False,14.0,1.0,17.0,776.0,111.0,887.0,63.35714285714285,1.2142857142857142,0.125140924464487,1,1,1
335604,50,1550,7,209,False,9.0,1.0,13.0,110.0,27.0,137.0,15.22222222222222,1.4444444444444444,0.1970802919708029,1,1,0
335601,27,212,4,25,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335599,58,2011,8,270,False,4.0,1.0,308.0,3150.0,1102.0,4252.0,1063.0,77.0,0.2591721542803387,1,1,1
335597,57,500,8,61,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335596,46,1124,6,140,False,1.0,1.0,3.0,25.0,221.0,246.0,246.0,3.0,0.8983739837398373,1,1,0
335591,61,2144,7,273,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
