pr_number,title_length,body_length,title_word_count,body_word_count,is_draft,commits_24h,commit_authors_24h,files_changed_24h,additions_24h,deletions_24h,total_changes_24h,changes_per_commit_24h,files_per_commit_24h,deletion_ratio_24h,has_commit_activity_24h,has_file_activity_24h,change_risk_label
325117,68,282,10,27,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325118,54,343,5,49,False,2.0,1.0,2.0,26.0,2.0,28.0,14.0,1.0,0.0714285714285714,1,1,1
325119,70,3401,11,424,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325120,61,1315,10,160,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325122,63,2297,11,291,False,1.0,1.0,5.0,63.0,75.0,138.0,138.0,5.0,0.5434782608695652,1,1,1
325123,65,1625,8,233,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325124,62,176,9,28,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325126,94,538,14,62,False,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1,1,0
325129,47,0,7,0,False,1.0,1.0,286.0,14058.0,1850.0,15908.0,15908.0,286.0,0.1162936887100829,1,1,1
325131,57,343,4,49,False,1.0,1.0,2.0,11.0,0.0,11.0,11.0,2.0,0.0,1,1,0
325134,74,1151,9,160,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325135,64,1189,11,179,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325137,72,1849,11,264,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325138,48,1346,8,157,False,18.0,1.0,17.0,1370.0,700.0,2070.0,115.0,0.9444444444444444,0.3381642512077294,1,1,0
325139,56,2381,6,301,False,4.0,1.0,30.0,582.0,189.0,771.0,192.75,7.5,0.245136186770428,1,1,0
325140,72,1239,10,139,False,1.0,1.0,1.0,4.0,8.0,12.0,12.0,1.0,0.6666666666666666,1,1,0
325143,77,4841,11,564,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325145,85,3011,11,429,False,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,0.5,1,1,1
325148,52,1408,8,198,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325151,47,349,7,49,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325153,71,647,8,93,True,1.0,1.0,1.0,1.0,8.0,9.0,9.0,1.0,0.8888888888888888,1,1,0
325154,69,575,11,87,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325155,46,343,7,49,False,4.0,1.0,320.0,15383.0,1955.0,17338.0,4334.5,80.0,0.1127581035874956,1,1,1
325158,76,2485,8,299,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325159,62,2545,8,364,False,1.0,1.0,3.0,16.0,4.0,20.0,20.0,3.0,0.2,1,1,0
325161,21,135,3,11,False,2.0,1.0,300.0,13704.0,2012.0,15716.0,7858.0,150.0,0.1280223975566302,1,1,1
325163,60,2523,7,317,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325165,32,1353,5,183,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
325166,42,343,8,49,False,2.0,1.0,13.0,549.0,15.0,564.0,282.0,6.5,0.026595744680851,1,1,0
325168,32,1553,3,207,False,3.0,1.0,1.0,42.0,15.0,57.0,19.0,0.3333333333333333,0.2631578947368421,1,1,0
325169,20,389,5,51,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325170,47,416,8,51,False,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1,1,0
325173,49,1220,8,162,False,1.0,1.0,1.0,21.0,3.0,24.0,24.0,1.0,0.125,1,1,0
325175,36,39,6,5,False,4.0,2.0,126.0,5682.0,842.0,6524.0,1631.0,31.5,0.1290619251992642,1,1,1
325180,50,852,9,92,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325181,86,343,10,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325183,59,761,9,77,False,1.0,1.0,2.0,14.0,11.0,25.0,25.0,2.0,0.44,1,1,0
325184,43,845,8,112,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
325187,49,568,8,80,False,1.0,1.0,1.0,3.0,3.0,6.0,6.0,1.0,0.5,1,1,1
325189,67,1145,11,146,False,1.0,1.0,1.0,4.0,2.0,6.0,6.0,1.0,0.3333333333333333,1,1,0
325190,57,703,9,87,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325191,47,1665,6,249,False,2.0,1.0,18.0,337.0,106.0,443.0,221.5,9.0,0.2392776523702031,1,1,0
325193,54,471,10,62,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325194,59,3463,10,430,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325195,60,749,9,94,False,4.0,1.0,302.0,22093.0,12435.0,34528.0,8632.0,75.5,0.3601424930491195,1,1,1
325196,59,1145,8,163,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325198,46,534,6,67,False,5.0,1.0,289.0,13407.0,1811.0,15218.0,3043.6,57.8,0.1190038112761203,1,1,1
325200,36,671,5,86,False,4.0,1.0,302.0,21621.0,12398.0,34019.0,8504.75,75.5,0.3644433992768747,1,1,1
325202,56,2564,9,343,False,1.0,1.0,1.0,53.0,100.0,153.0,153.0,1.0,0.6535947712418301,1,1,0
325203,25,343,4,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325205,48,1390,8,189,False,1.0,1.0,2.0,150.0,8.0,158.0,158.0,2.0,0.050632911392405,1,1,0
325206,42,109,6,17,True,2.0,1.0,20.0,95.0,285.0,380.0,190.0,10.0,0.75,1,1,0
325207,43,2675,7,327,False,2.0,1.0,8.0,181.0,68.0,249.0,124.5,4.0,0.2730923694779116,1,1,0
325209,64,512,7,75,True,1.0,1.0,7.0,53.0,296.0,349.0,349.0,7.0,0.8481375358166189,1,1,1
325211,53,504,6,70,False,4.0,1.0,2.0,158.0,35.0,193.0,48.25,0.5,0.1813471502590673,1,1,0
325212,57,2178,9,303,False,1.0,1.0,3.0,69.0,11.0,80.0,80.0,3.0,0.1375,1,1,0
325222,40,536,7,86,False,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1,1,0
325223,49,0,7,0,False,6.0,1.0,306.0,21428.0,12388.0,33816.0,5636.0,51.0,0.3663354625029572,1,1,1
325226,57,2912,7,390,False,1.0,1.0,2.0,58.0,38.0,96.0,96.0,2.0,0.3958333333333333,1,1,0
325228,70,862,11,123,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325233,38,55,5,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325234,23,281,4,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325238,64,2670,8,354,False,1.0,1.0,2.0,169.0,41.0,210.0,210.0,2.0,0.1952380952380952,1,1,0
325239,69,1970,8,252,False,3.0,1.0,209.0,12323.0,1226.0,13549.0,4516.333333333333,69.66666666666667,0.0904863827588751,1,1,1
325241,47,0,7,0,False,1.0,1.0,300.0,16430.0,8472.0,24902.0,24902.0,300.0,0.3402136374588386,1,1,1
325247,47,343,8,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325249,65,1464,9,195,False,2.0,1.0,6.0,128.0,64.0,192.0,96.0,3.0,0.3333333333333333,1,1,0
325254,48,343,8,49,False,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.6666666666666666,1,1,0
325257,82,215,12,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325258,32,0,5,0,False,2.0,1.0,2.0,32.0,26.0,58.0,29.0,1.0,0.4482758620689655,1,1,0
325259,58,801,5,87,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
325262,63,677,7,86,False,2.0,1.0,300.0,755.0,302.0,1057.0,528.5,150.0,0.2857142857142857,1,1,0
325263,98,1821,12,260,False,5.0,1.0,27.0,2988.0,234.0,3222.0,644.4,5.4,0.0726256983240223,1,1,0
325268,18,0,3,0,False,2.0,1.0,6.0,5791.0,5167.0,10958.0,5479.0,3.0,0.4715276510312101,1,1,1
325269,37,934,5,122,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325271,56,1190,8,148,False,6.0,1.0,2.0,10.0,10.0,20.0,3.333333333333333,0.3333333333333333,0.5,1,1,0
325272,46,1003,7,126,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325275,33,296,5,44,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325276,42,527,7,67,False,1.0,1.0,3.0,108.0,24.0,132.0,132.0,3.0,0.1818181818181818,1,1,0
325278,72,2297,9,358,False,1.0,1.0,2.0,22.0,1.0,23.0,23.0,2.0,0.0434782608695652,1,1,0
325283,67,2075,9,271,False,1.0,1.0,2.0,3.0,2.0,5.0,5.0,2.0,0.4,1,1,1
325284,100,0,15,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325291,55,1429,10,192,False,4.0,1.0,135.0,22902.0,12870.0,35772.0,8943.0,33.75,0.3597785977859778,1,1,1
325293,44,0,7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325295,45,593,6,88,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325294,43,557,5,82,False,2.0,1.0,301.0,19868.0,12312.0,32180.0,16090.0,150.5,0.3825978868862648,1,1,1
325296,39,306,5,44,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325298,61,2751,8,369,False,3.0,1.0,306.0,20418.0,12314.0,32732.0,10910.666666666666,102.0,0.376206770133203,1,1,1
325299,48,460,6,70,False,7.0,1.0,94.0,21289.0,12564.0,33853.0,4836.142857142857,13.428571428571429,0.3711340206185567,1,1,1
325300,64,1402,9,186,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325301,77,2805,12,416,False,1.0,1.0,9.0,114.0,36.0,150.0,150.0,9.0,0.24,1,1,0
325302,31,563,4,78,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325303,76,1830,9,206,False,2.0,1.0,26.0,809.0,290.0,1099.0,549.5,13.0,0.2638762511373976,1,1,0
325304,71,343,11,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325305,117,1248,9,165,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325307,90,0,12,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325309,66,1969,9,232,False,1.0,1.0,4.0,8.0,23.0,31.0,31.0,4.0,0.7419354838709677,1,1,0
325310,59,343,10,49,False,2.0,1.0,133.0,4373.0,1187.0,5560.0,2780.0,66.5,0.2134892086330935,1,1,1
325311,40,1269,6,145,True,5.0,1.0,10.0,562.0,234.0,796.0,159.2,2.0,0.2939698492462311,1,1,0
325314,55,1530,9,215,False,1.0,1.0,2.0,3.0,4.0,7.0,7.0,2.0,0.5714285714285714,1,1,0
325316,52,1105,7,155,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325320,80,1216,6,159,False,2.0,1.0,1.0,39.0,5.0,44.0,22.0,0.5,0.1136363636363636,1,1,0
325321,67,2044,11,303,False,1.0,1.0,1.0,1.0,8.0,9.0,9.0,1.0,0.8888888888888888,1,1,1
325322,37,0,6,0,False,1.0,1.0,2.0,11.0,6.0,17.0,17.0,2.0,0.3529411764705882,1,1,0
325329,68,1889,8,264,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325331,64,3716,9,455,False,1.0,1.0,6.0,61.0,8.0,69.0,69.0,6.0,0.1159420289855072,1,1,1
