feature,coefficient,absolute_coefficient,direction
is_draft,0.7432605722942535,0.7432605722942535,increases_bottleneck_risk
has_file_activity_24h,0.6044943755057894,0.6044943755057894,increases_bottleneck_risk
commit_authors_24h,-0.5259145942065396,0.5259145942065396,decreases_bottleneck_risk
has_commit_activity_24h,-0.21647635924024908,0.21647635924024908,decreases_bottleneck_risk
files_changed_24h,-0.20843583409009758,0.20843583409009758,decreases_bottleneck_risk
title_word_count,0.20018403227924889,0.20018403227924889,increases_bottleneck_risk
body_length,0.19672601830249536,0.19672601830249536,increases_bottleneck_risk
body_word_count,0.15414978613144953,0.15414978613144953,increases_bottleneck_risk
title_length,-0.1059637966485987,0.1059637966485987,decreases_bottleneck_risk
files_per_commit_24h,0.08338272764510968,0.08338272764510968,increases_bottleneck_risk
additions_24h,0.051909576777417,0.051909576777417,increases_bottleneck_risk
deletions_24h,-0.029651047379236614,0.029651047379236614,decreases_bottleneck_risk
changes_per_commit_24h,0.02879518762987599,0.02879518762987599,increases_bottleneck_risk
total_changes_24h,0.024512307455475495,0.024512307455475495,increases_bottleneck_risk
commits_24h,-0.012263177917860357,0.012263177917860357,decreases_bottleneck_risk
deletion_ratio_24h,0.008820651687320739,0.008820651687320739,increases_bottleneck_risk
