feature,value,scaled_value,coefficient,contribution,absolute_contribution
has_file_activity_24h,1.0,0.8785223768235132,0.6044943755057894,0.5310618355457914,0.5310618355457914
commit_authors_24h,1.0,0.6650141481180153,-0.5259145942065396,-0.34974064584909365,0.34974064584909365
is_draft,0.0,-0.3386026786391437,0.7432605722942535,-0.2516700207056971,0.2516700207056971
has_commit_activity_24h,1.0,0.8743172062947684,-0.21647635924024908,-0.18926900563979723,0.18926900563979723
title_word_count,6.0,-0.6182168997330033,0.20018403227924889,-0.12375715181172871,0.12375715181172871
title_length,38.0,-0.8889953278385876,-0.1059637966485987,0.09420132014064243,0.09420132014064243
body_length,667.0,-0.44668010479498876,0.19672601830249536,-0.0878735984712595,0.0878735984712595
files_changed_24h,3.0,-0.35181183835987834,-0.20843583409009758,0.07333019397131182,0.07333019397131182
body_word_count,103.0,-0.3960666551896353,0.15414978613144953,-0.06105359019128084,0.06105359019128084
files_per_commit_24h,1.5,-0.3042317667926132,0.08338272764510968,-0.02536767455145899,0.02536767455145899
additions_24h,15.0,-0.3293662651232782,0.051909576777417,-0.017097263427307892,0.017097263427307892
changes_per_commit_24h,10.0,-0.274039590783442,0.02879518762987599,-0.007891021434623648,0.007891021434623648
total_changes_24h,20.0,-0.3168692670891005,0.024512307455475495,-0.007767196898079214,0.007767196898079214
deletions_24h,5.0,-0.22685716357259997,-0.029651047379236614,0.006726552505410393,0.006726552505410393
commits_24h,2.0,0.3178811717883524,-0.012263177917860357,-0.003898233366378498,0.003898233366378498
deletion_ratio_24h,0.25,0.4244097029580611,0.008820651687320739,0.003743570162512315,0.003743570162512315
