title_length,body_length,title_word_count,body_word_count,is_draft,commits_24h,commit_authors_24h,files_changed_24h,additions_24h,deletions_24h,total_changes_24h,changes_per_commit_24h,files_per_commit_24h,deletion_ratio_24h,has_commit_activity_24h,has_file_activity_24h,bottleneck_label
68,282,10,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
54,343,5,49,0,2.0,1.0,2.0,26.0,2.0,28.0,14.0,1.0,0.0714285714285714,1,1,0
70,3401,11,424,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
61,1315,10,160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
63,2297,11,291,0,1.0,1.0,5.0,63.0,75.0,138.0,138.0,5.0,0.5434782608695652,1,1,0
65,1625,8,233,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
62,176,9,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
94,538,14,62,0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1,1,0
47,0,7,0,0,1.0,1.0,286.0,14058.0,1850.0,15908.0,15908.0,286.0,0.1162936887100829,1,1,0
57,343,4,49,0,1.0,1.0,2.0,11.0,0.0,11.0,11.0,2.0,0.0,1,1,0
74,1151,9,160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
64,1189,11,179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
72,1849,11,264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
48,1346,8,157,0,18.0,1.0,17.0,1370.0,700.0,2070.0,115.0,0.9444444444444444,0.3381642512077294,1,1,0
56,2381,6,301,0,4.0,1.0,30.0,582.0,189.0,771.0,192.75,7.5,0.245136186770428,1,1,0
72,1239,10,139,0,1.0,1.0,1.0,4.0,8.0,12.0,12.0,1.0,0.6666666666666666,1,1,0
77,4841,11,564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
85,3011,11,429,0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,0.5,1,1,1
52,1408,8,198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
47,349,7,49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
71,647,8,93,1,1.0,1.0,1.0,1.0,8.0,9.0,9.0,1.0,0.8888888888888888,1,1,1
69,575,11,87,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
