issue_number,pr_number,has_commit
335639,335641,True
335614,335611,True
335608,335615,True
335595,335593,True
335593,335595,True
335591,335593,True
335591,335595,True
335591,335583,True
335589,335594,True
335589,335583,True
335578,335593,True
335575,335576,True
335575,335583,True
335572,335564,True
335563,335583,True
335552,335553,True
335546,335547,True
335530,335568,True
335522,335350,True
335522,335346,True
335522,335345,True
335514,335515,True
335508,335355,True
335507,335511,True
335499,335542,True
335494,335613,True
335493,335391,True
335491,335562,True
335487,335463,True
335474,335525,True
335473,335472,True
335469,335618,True
335463,335487,True
335448,335583,True
335447,335410,True
335429,335436,True
335418,335419,True
335414,335303,True
335411,335415,True
335407,335410,True
335407,335447,True
335406,335502,True
335391,335583,True
335390,335515,True
335389,335390,True
