issue_number,pr_number,title,state,created_at,closed_at,author_x,commit_sha,commit_message,author_y,commit_date,file_name,status,additions,deletions,changes
335663,335664,Markdown: escaped `\$` opens an inline math span and hides highlighting until the next `$`,open,2026-09-11 09:36:11+00:00,,0xNeshi,,,,,,,,,
335658,335667,Opening contributed notebook no longer activates its serializer extension,open,2026-09-11 09:22:16+00:00,,hediet,,,,,,,,,
335640,2618,[Early POC] Add a third-party Canvas MVP for Copilot agent sessions,open,2026-09-11 07:42:56+00:00,,jruales,,,,,,,,,
335639,335641,Microsoft authentication keeps using an expired refresh token after successful sign-in,open,2026-09-11 07:40:12+00:00,,gaspardruan,00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,fix(microsoft-authentication): persist rejected refresh tokens before retry,gaspardruan,2026-09-11 04:49:16+00:00,extensions/microsoft-authentication/src/common/cachePlugin.ts,modified,13.0,0.0,13.0
335639,335641,Microsoft authentication keeps using an expired refresh token after successful sign-in,open,2026-09-11 07:40:12+00:00,,gaspardruan,00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,fix(microsoft-authentication): persist rejected refresh tokens before retry,gaspardruan,2026-09-11 04:49:16+00:00,extensions/microsoft-authentication/src/node/cachedPublicClientApplication.ts,modified,9.0,2.0,11.0
335639,335641,Microsoft authentication keeps using an expired refresh token after successful sign-in,open,2026-09-11 07:40:12+00:00,,gaspardruan,00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,fix(microsoft-authentication): persist rejected refresh tokens before retry,gaspardruan,2026-09-11 04:49:16+00:00,extensions/microsoft-authentication/src/node/test/tokenCache.test.ts,added,411.0,0.0,411.0
335639,335641,Microsoft authentication keeps using an expired refresh token after successful sign-in,open,2026-09-11 07:40:12+00:00,,gaspardruan,00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,fix(microsoft-authentication): persist rejected refresh tokens before retry,gaspardruan,2026-09-11 04:49:16+00:00,extensions/microsoft-authentication/src/node/tokenCache.ts,added,31.0,0.0,31.0
335614,335611,Chat pet clearance appears inside the final response,closed,2026-09-11 02:47:34+00:00,2026-09-11 07:31:08+00:00,TylerLeonhardt,5d4074ff71877ff85e500892f5a809a8d1927ead,"chat: reserve pet space outside responses

Use chat list bottom padding for the pet clearance so response rows end with their content while preserving scroll-to-end behavior and persistent-content spacing.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 02:04:13+00:00,src/vs/workbench/contrib/chat/browser/widget/chatPetWidget.ts,modified,5.0,4.0,9.0
335614,335611,Chat pet clearance appears inside the final response,closed,2026-09-11 02:47:34+00:00,2026-09-11 07:31:08+00:00,TylerLeonhardt,5d4074ff71877ff85e500892f5a809a8d1927ead,"chat: reserve pet space outside responses

Use chat list bottom padding for the pet clearance so response rows end with their content while preserving scroll-to-end behavior and persistent-content spacing.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 02:04:13+00:00,src/vs/workbench/contrib/chat/browser/widget/chatWidget.ts,modified,17.0,5.0,22.0
335614,335611,Chat pet clearance appears inside the final response,closed,2026-09-11 02:47:34+00:00,2026-09-11 07:31:08+00:00,TylerLeonhardt,5d4074ff71877ff85e500892f5a809a8d1927ead,"chat: reserve pet space outside responses

Use chat list bottom padding for the pet clearance so response rows end with their content while preserving scroll-to-end behavior and persistent-content spacing.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 02:04:13+00:00,src/vs/workbench/contrib/chat/browser/widget/media/chat.css,modified,0.0,5.0,5.0
335614,335611,Chat pet clearance appears inside the final response,closed,2026-09-11 02:47:34+00:00,2026-09-11 07:31:08+00:00,TylerLeonhardt,5d4074ff71877ff85e500892f5a809a8d1927ead,"chat: reserve pet space outside responses

Use chat list bottom padding for the pet clearance so response rows end with their content while preserving scroll-to-end behavior and persistent-content spacing.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 02:04:13+00:00,src/vs/workbench/contrib/chat/test/browser/widget/chatPetWidget.test.ts,modified,7.0,7.0,14.0
335614,335611,Chat pet clearance appears inside the final response,closed,2026-09-11 02:47:34+00:00,2026-09-11 07:31:08+00:00,TylerLeonhardt,fab6a00479db2ba1e2a59a96c0e280d4e4a0fa21,"chat: scale pet transcript padding

Derive the transcript clearance from the pet scale so Grow and Shrink keep the final response unobstructed without excess space.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 02:18:37+00:00,src/vs/workbench/contrib/chat/browser/widget/chatPetWidget.ts,modified,2.0,2.0,4.0
335614,335611,Chat pet clearance appears inside the final response,closed,2026-09-11 02:47:34+00:00,2026-09-11 07:31:08+00:00,TylerLeonhardt,fab6a00479db2ba1e2a59a96c0e280d4e4a0fa21,"chat: scale pet transcript padding

Derive the transcript clearance from the pet scale so Grow and Shrink keep the final response unobstructed without excess space.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 02:18:37+00:00,src/vs/workbench/contrib/chat/browser/widget/chatWidget.ts,modified,1.0,1.0,2.0
